meeting_id,part_id,chan_id,start,end,length,type,laugh_type
Bdb001,mn017,chan1,9.798,11.268,1.4700000000000006,laugh,breath-laugh
Bdb001,me011,chan3,52.547,56.129,3.5820000000000007,laugh,laugh
Bdb001,mn017,chan1,55.324,57.835,2.511000000000003,laugh,breath-laugh
Bdb001,me011,chan3,59.788,61.569,1.781000000000006,laugh,breath-laugh
Bdb001,fe016,chanB,272.563,273.037,0.4739999999999895,laugh,laugh
Bdb001,me001,chan2,276.188,276.834,0.646000000000015,laugh,laugh
Bdb001,me018,chan4,277.05,278.716,1.6659999999999968,laugh,breath-laugh
Bdb001,me011,chan3,294.981,295.535,0.5540000000000305,laugh,breath-laugh
Bdb001,me001,chan2,505.523,506.335,0.811999999999955,laugh,breath-laugh
Bdb001,me018,chan4,612.062,612.544,0.4819999999999709,laugh,breath-laugh
Bdb001,me011,chan3,1143.049,1143.959,0.910000000000082,laugh,laugh
Bdb001,me011,chan3,1444.993,1446.503,1.509999999999991,laugh,laugh
Bdb001,me011,chan3,1607.761,1608.047,0.2860000000000582,laugh,laugh
Bdb001,me011,chan3,1727.741,1729.125,1.3840000000000146,laugh,laugh
Bdb001,me011,chan3,1957.343,1957.779,0.4359999999999218,laugh,laugh
Bdb001,me018,chan4,1993.302,1996.328,3.0260000000000677,laugh,laugh
Bdb001,fe016,chanB,2076.698,2077.623,0.925000000000182,laugh,laugh
Bdb001,mn017,chan1,2079.596,2080.426,0.8299999999999272,laugh,laugh
Bdb001,me001,chan2,2096.167,2097.591,1.4239999999999782,laugh,laugh
Bdb001,me001,chan2,2099.21,2100.2,0.9899999999997816,laugh,laugh
Bdb001,me011,chan3,2103.366,2103.9,0.5340000000001055,laugh,breath-laugh
Bdb001,me011,chan3,2118.587,2119.121,0.5340000000001055,laugh,breath-laugh
Bdb001,me001,chan2,2124.022,2124.951,0.9290000000000872,laugh,laugh
Bdb001,fe016,chanB,2124.161,2125.848,1.686999999999898,laugh,laugh
Bdb001,me011,chan3,2219.982,2220.43,0.4479999999998654,laugh,laugh
Bdb001,fe008,chan8,2273.402,2274.44,1.038000000000011,laugh,laugh
Bdb001,me011,chan3,2401.056,2401.827,0.7710000000001855,laugh,"laugh, mike interaction"
Bdb001,fe016,chanB,2402.851,2405.253,2.402000000000044,laugh,laugh
Bdb001,fe016,chanB,2408.912,2411.6,2.688000000000102,laugh,laugh
Bdb001,me018,chan4,2409.132,2410.833,1.7010000000000218,laugh,laugh
Bdb001,me001,chan2,2409.598,2411.3,1.7020000000002256,laugh,laugh
Bdb001,me018,chan4,2412.079,2413.068,0.9890000000000329,laugh,laugh
Bdb001,fe016,chanB,2486.128,2487.131,1.0029999999997017,laugh,breath-laugh
Bdb001,fe016,chanB,2493.246,2494.07,0.8240000000000691,laugh,breath-laugh
Bdb001,me001,chan2,2493.462,2494.234,0.7719999999999345,laugh,breath-laugh
Bdb001,me001,chan2,2692.052,2693.36,1.3079999999999927,laugh,laugh
Bdb001,mn017,chan1,2696.129,2697.791,1.662000000000262,laugh,laugh
